[2025-04-22 18:42:55,677: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-04-22 18:43:02,351: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-04-22 18:43:23,626: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-04-22 18:43:41,650: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-04-22 18:47:19,363: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-04-22 18:47:19,369: INFO: common: yaml file: params.yaml loaded successfully]
[2025-04-22 18:47:19,374: INFO: common: created directory at: artifacts]
[2025-04-22 18:53:26,583: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-04-22 18:53:26,601: INFO: common: yaml file: params.yaml loaded successfully]
[2025-04-22 18:53:26,603: INFO: common: created directory at: artifacts]
[2025-04-22 18:55:18,093: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-04-22 18:55:18,093: INFO: common: yaml file: params.yaml loaded successfully]
[2025-04-22 18:55:18,100: INFO: common: created directory at: artifacts]
[2025-04-22 19:25:42,107: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-04-22 19:25:42,107: INFO: common: yaml file: params.yaml loaded successfully]
[2025-04-22 19:25:42,122: INFO: common: created directory at: artifacts]
[2025-04-22 19:31:43,048: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-04-22 19:31:43,053: INFO: common: yaml file: params.yaml loaded successfully]
[2025-04-22 19:31:43,056: INFO: common: created directory at: artifacts]
[2025-04-22 19:31:43,057: INFO: common: created directory at: artifacts/prepare_base_model]
[2025-04-22 19:31:57,755: WARNING: saving_utils: Compiled the loaded model, but the compiled metrics have yet to be built. `model.compile_metrics` will be empty until you train or evaluate the model.]
[2025-04-22 21:40:58,565: INFO: main: >>>>>> stage Data Ingestion stage started <<<<<<]
[2025-04-22 21:40:58,565: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-04-22 21:40:58,565: INFO: common: yaml file: params.yaml loaded successfully]
[2025-04-22 21:40:58,582: INFO: common: created directory at: artifacts]
[2025-04-22 21:40:58,582: INFO: common: created directory at: artifacts/data_ingestion]
[2025-04-22 21:40:58,584: INFO: data_ingestion: Downloading data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2025-04-22 21:41:16,050: INFO: data_ingestion: Downloaded data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing into file artifacts/data_ingestion/data.zip]
